file,line,theme,classes,fg_hex,bg_hex,contrast,passes
app\page.tsx,597,dark,"rounded-lg bg-background/80 text-foreground p-3 shadow-sm",#e6eef8,#0b1220,16,PASS
app\page.tsx,598,light,"text-xs font-semibold uppercase tracking-wide text-gray-500 dark:text-gray-400",#0f172a,#ffffff,17.85,PASS
app\page.tsx,598,dark,"text-xs font-semibold uppercase tracking-wide text-gray-500 dark:text-gray-400",#9ca3af,#0b1220,7.37,PASS
app\page.tsx,602,light,"mt-1 text-lg font-bold ${route.reliabilityScore >= 80 ? 'text-green-600 dark:text-green-400' : route.reliabilityScore >= 50 ? 'text-yellow-500 dark:text-yellow-300' : 'text-red-600 dark:text-red-400'}",#0f172a,#ffffff,17.85,PASS
app\page.tsx,602,dark,"mt-1 text-lg font-bold ${route.reliabilityScore >= 80 ? 'text-green-600 dark:text-green-400' : route.reliabilityScore >= 50 ? 'text-yellow-500 dark:text-yellow-300' : 'text-red-600 dark:text-red-400'}",#e6eef8,#0b1220,16,PASS
app\page.tsx,605,light,"text-sm",#0f172a,#ffffff,17.85,PASS
app\page.tsx,605,dark,"text-sm",#e6eef8,#0b1220,16,PASS
app\page.tsx,615,light,"flex items-center justify-center py-16",#0f172a,#ffffff,17.85,PASS
app\page.tsx,615,dark,"flex items-center justify-center py-16",#e6eef8,#0b1220,16,PASS
app\page.tsx,616,light,"relative",#0f172a,#ffffff,17.85,PASS
app\page.tsx,616,dark,"relative",#e6eef8,#0b1220,16,PASS
app\page.tsx,617,light,"h-16 w-16 animate-spin rounded-full border-4 border-gray-200 border-t-blue-600",#0f172a,#ffffff,17.85,PASS
app\page.tsx,617,dark,"h-16 w-16 animate-spin rounded-full border-4 border-gray-200 border-t-blue-600",#e6eef8,#0b1220,16,PASS
app\page.tsx,618,light,"absolute inset-0 flex items-center justify-center",#0f172a,#ffffff,17.85,PASS
app\page.tsx,618,dark,"absolute inset-0 flex items-center justify-center",#e6eef8,#0b1220,16,PASS
app\page.tsx,619,light,"h-8 w-8 rounded-full bg-blue-100",#0f172a,#dbeafe,14.63,PASS
app\page.tsx,619,dark,"h-8 w-8 rounded-full bg-blue-100",#e6eef8,#0b1220,16,PASS
app\page.tsx,740,light,"min-h-screen bg-background text-foreground",#0f172a,#ffffff,17.85,PASS
app\page.tsx,740,dark,"min-h-screen bg-background text-foreground",#e6eef8,#0b1220,16,PASS
app\page.tsx,741,light,"mx-auto max-w-5xl px-4 py-6 sm:py-10",#0f172a,#ffffff,17.85,PASS
app\page.tsx,741,dark,"mx-auto max-w-5xl px-4 py-6 sm:py-10",#e6eef8,#0b1220,16,PASS
app\page.tsx,743,light,"mb-8 text-center",#0f172a,#ffffff,17.85,PASS
app\page.tsx,743,dark,"mb-8 text-center",#e6eef8,#0b1220,16,PASS
app\page.tsx,744,light,"inline-flex items-center gap-3 rounded-full bg-background text-foreground px-6 py-2 shadow-lg ring-1 ring-black/5 mb-4",#0f172a,#ffffff,17.85,PASS
app\page.tsx,744,dark,"inline-flex items-center gap-3 rounded-full bg-background text-foreground px-6 py-2 shadow-lg ring-1 ring-black/5 mb-4",#e6eef8,#0b1220,16,PASS
app\page.tsx,745,light,"text-3xl",#0f172a,#ffffff,17.85,PASS
app\page.tsx,745,dark,"text-3xl",#e6eef8,#0b1220,16,PASS
app\page.tsx,746,light,"text-sm font-bold uppercase tracking-wider text-blue-600",#0f172a,#ffffff,17.85,PASS
app\page.tsx,746,dark,"text-sm font-bold uppercase tracking-wider text-blue-600",#e6eef8,#0b1220,16,PASS
app\page.tsx,750,light,"text-4xl font-extrabold tracking-tight text-foreground sm:text-5xl md:text-6xl",#0f172a,#ffffff,17.85,PASS
app\page.tsx,750,dark,"text-4xl font-extrabold tracking-tight text-foreground sm:text-5xl md:text-6xl",#e6eef8,#0b1220,16,PASS
app\page.tsx,752,light,"block text-transparent bg-clip-text bg-gradient-to-r from-blue-600 to-indigo-600",#0f172a,#ffffff,17.85,PASS
app\page.tsx,752,dark,"block text-transparent bg-clip-text bg-gradient-to-r from-blue-600 to-indigo-600",#e6eef8,#0b1220,16,PASS
app\page.tsx,756,light,"mt-4 text-lg text-foreground/80 font-medium max-w-2xl mx-auto",#0f172a,#ffffff,17.85,PASS
app\page.tsx,756,dark,"mt-4 text-lg text-foreground/80 font-medium max-w-2xl mx-auto",#e6eef8,#0b1220,16,PASS
app\page.tsx,765,light,"mb-8 rounded-2xl border-2 border-white bg-background/80 text-foreground backdrop-blur-sm p-6 sm:p-8 shadow-2xl",#0f172a,#ffffff,17.85,PASS
app\page.tsx,765,dark,"mb-8 rounded-2xl border-2 border-white bg-background/80 text-foreground backdrop-blur-sm p-6 sm:p-8 shadow-2xl",#e6eef8,#0b1220,16,PASS
app\page.tsx,768,light,"mb-6",#0f172a,#ffffff,17.85,PASS
app\page.tsx,768,dark,"mb-6",#e6eef8,#0b1220,16,PASS
app\page.tsx,769,light,"mb-2 block text-sm font-semibold text-gray-700",#0f172a,#ffffff,17.85,PASS
app\page.tsx,769,dark,"mb-2 block text-sm font-semibold text-gray-700",#e6eef8,#0b1220,16,PASS
app\page.tsx,772,light,"flex items-center gap-3",#0f172a,#ffffff,17.85,PASS
app\page.tsx,772,dark,"flex items-center gap-3",#e6eef8,#0b1220,16,PASS
app\page.tsx,773,light,"text-xl",#0f172a,#ffffff,17.85,PASS
app\page.tsx,773,dark,"text-xl",#e6eef8,#0b1220,16,PASS
app\page.tsx,774,light,"text-sm font-semibold text-gray-700",#0f172a,#ffffff,17.85,PASS
app\page.tsx,774,dark,"text-sm font-semibold text-gray-700",#e6eef8,#0b1220,16,PASS
app\page.tsx,783,light,"grid gap-6 sm:grid-cols-2 mb-6",#0f172a,#ffffff,17.85,PASS
app\page.tsx,783,dark,"grid gap-6 sm:grid-cols-2 mb-6",#e6eef8,#0b1220,16,PASS
app\page.tsx,802,light,"flex items-center justify-center mb-6",#0f172a,#ffffff,17.85,PASS
app\page.tsx,802,dark,"flex items-center justify-center mb-6",#e6eef8,#0b1220,16,PASS
app\page.tsx,806,light,"group flex items-center gap-2 rounded-full bg-gray-100 px-4 py-2 text-sm font-semibold text-gray-700 transition-all hover:bg-gray-200 hover:scale-105",#0f172a,#f3f4f6,16.22,PASS
app\page.tsx,806,dark,"group flex items-center gap-2 rounded-full bg-gray-100 px-4 py-2 text-sm font-semibold text-gray-700 transition-all hover:bg-gray-200 hover:scale-105",#e6eef8,#0b1220,16,PASS
app\page.tsx,809,light,"transform transition-transform group-hover:rotate-180",#0f172a,#ffffff,17.85,PASS
app\page.tsx,809,dark,"transform transition-transform group-hover:rotate-180",#e6eef8,#0b1220,16,PASS
app\page.tsx,819,light,"mb-4",#0f172a,#ffffff,17.85,PASS
app\page.tsx,819,dark,"mb-4",#e6eef8,#0b1220,16,PASS
app\page.tsx,823,light,"flex items-center gap-2 text-sm font-semibold text-blue-600 hover:text-blue-700",#0f172a,#ffffff,17.85,PASS
app\page.tsx,823,dark,"flex items-center gap-2 text-sm font-semibold text-blue-600 hover:text-blue-700",#e6eef8,#0b1220,16,PASS
app\page.tsx,829,light,"text-xs text-gray-500",#0f172a,#ffffff,17.85,PASS
app\page.tsx,829,dark,"text-xs text-gray-500",#e6eef8,#0b1220,16,PASS
